scene_name,criterion,trial_idx,seed,method_id,method_name,objective_init,objective_final,reduction_pct,time_sec,iterations,min_eigJ,min_sin_init,min_sin_final
cube,dopt,43,97,gs_sqp,GS-SQP,18.9973093311091,17.7946137891507,6.33087307784667,0.112387541666667,14,0.00265286691908048,1,1
cube,dopt,43,97,iso_sqp,Iso-SQP,18.9973093311091,18.5826389988668,2.18278454603707,0.630855333333333,100,0.00204119308269333,1,1
cube,dopt,43,97,manopt,Manopt,18.9973093311091,17.7946147590156,6.33086797257153,1.62926895833333,50,0.00265382772776599,1,0.888641930177343
cube,dopt,43,97,tr_sqp,TR-SQP,18.9973093311091,17.8417057065595,6.08298577660807,4.24912225,80,0.00254088394203402,1,0.99960359499926
cube,dopt,43,97,pso,PSO,18.9973093311091,17.9390968429405,5.57032824872618,0.171818875,80,0.00248960526817125,1,0.658795870945083
cube,dopt,43,97,de,DE,18.9973093311091,17.9842533392954,5.33262881683345,0.218689333333333,80,0.00207566184333001,1,0.0865170192636829
cube,dopt,44,98,gs_sqp,GS-SQP,19.1650347791471,17.752641340887,7.36963670839165,0.117914833333333,16,0.00268351437450017,1,1
cube,dopt,44,98,iso_sqp,Iso-SQP,19.1650347791471,18.6201466391818,2.84313671352254,0.733590958333333,100,0.0020158168869402,1,1
cube,dopt,44,98,manopt,Manopt,19.1650347791471,17.7526331943548,7.36967921565756,1.94249908333333,50,0.00269150175489082,1,0.488766627432388
cube,dopt,44,98,tr_sqp,TR-SQP,19.1650347791471,17.7526326902391,7.36968184604992,3.01508504166667,80,0.00269178809394973,1,0.99948422141905
cube,dopt,44,98,pso,PSO,19.1650347791471,17.7851370509929,7.20007943661868,0.160462083333333,80,0.00265049336100108,1,0.184579679788616
cube,dopt,44,98,de,DE,19.1650347791471,17.8969846125932,6.61647725228044,0.210752125,80,0.00235723295667651,1,0.881008936451602
cube,dopt,45,99,gs_sqp,GS-SQP,19.117493110748,17.7857696415982,6.9659942411648,0.10222825,15,0.00265603453550455,1,1
cube,dopt,45,99,iso_sqp,Iso-SQP,19.117493110748,18.3343112999534,4.09667630717919,0.706283416666667,100,0.00221733286011418,1,1
cube,dopt,45,99,manopt,Manopt,19.117493110748,17.7857647934793,6.96601960076025,1.72390054166667,50,0.00266218964264706,1,0.904979004974629
cube,dopt,45,99,tr_sqp,TR-SQP,19.117493110748,17.8311376351441,6.72868282547311,4.76657183333333,80,0.00258286082802211,1,0.998649841632014
cube,dopt,45,99,pso,PSO,19.117493110748,17.8173660829839,6.80071921685773,0.182346291666667,80,0.00248986429901263,1,0.507295863394399
cube,dopt,45,99,de,DE,19.117493110748,17.9318533684715,6.20185782418237,0.228020833333333,80,0.00205234670547955,1,0.627631401433935
cube,dopt,46,100,gs_sqp,GS-SQP,18.7052401070812,17.7732430849193,4.98254508804239,0.140846208333333,19,0.00266636164976152,1,1
cube,dopt,46,100,iso_sqp,Iso-SQP,18.7052401070812,18.5717026819459,0.713903827862491,0.707459875,100,0.00204864011933521,1,1
cube,dopt,46,100,manopt,Manopt,18.7052401070812,17.7732414343957,4.98255391189955,1.38518470833333,50,0.00267335061667322,1,0.913013292965139
cube,dopt,46,100,tr_sqp,TR-SQP,18.7052401070812,17.7865476594459,4.91141756201032,3.97486658333333,80,0.00264157012864166,1,0.998858422319422
cube,dopt,46,100,pso,PSO,18.7052401070812,17.8808141559692,4.40745986895881,0.156439541666667,80,0.00232781431610978,1,0.495588467583328
cube,dopt,46,100,de,DE,18.7052401070812,17.9532522394598,4.02019895663785,0.221605791666667,80,0.002008101259976,1,0.577636666213032
cube,dopt,47,101,gs_sqp,GS-SQP,18.8500420809595,17.79409567211,5.60182520714953,0.296061041666667,34,0.00257825925348813,1,1
cube,dopt,47,101,iso_sqp,Iso-SQP,18.8500420809595,18.5269729914221,1.71389054809466,0.688575416666667,100,0.00207939237764107,1,1
cube,dopt,47,101,manopt,Manopt,18.8500420809595,17.7934538138468,5.60523028317237,1.91436466666667,50,0.00265529370009018,1,0.705733356925783
cube,dopt,47,101,tr_sqp,TR-SQP,18.8500420809595,17.82061319458,5.46114900941935,3.78842929166667,80,0.00259331635724962,1,0.994469025863062
cube,dopt,47,101,pso,PSO,18.8500420809595,17.9352726025359,4.85287764608007,0.150164333333333,80,0.00252814798914645,1,0.0320608600410159
cube,dopt,47,101,de,DE,18.8500420809595,18.0329032762758,4.33494419362102,0.20683975,80,0.00219091851153948,1,0.663105462744006
cube,dopt,48,102,gs_sqp,GS-SQP,19.1181325848969,17.7465726004735,7.17413156506143,0.391735875,53,0.00269714014874739,1,1
cube,dopt,48,102,iso_sqp,Iso-SQP,19.1181325848969,18.4690946444363,3.39488146961271,0.729754208333333,100,0.00211993156706797,1,1
cube,dopt,48,102,manopt,Manopt,19.1181325848969,17.7465746088694,7.17412105987281,1.42981233333333,50,0.00269711309061844,1,0.736369663850174
